非表示			不显示
表示			显示
Local			局部坐标系
Global			全局坐标系
View			视图坐标系
無し			无
位置			位置
回転			旋转
拡縮			缩放
メイドパーツ			女仆部件
複数メイド			多个女仆	
選択					选择
未選択				未选中
設定					设置
ボーン表示			骨骼显示
詳細					详细
座標タイプ			坐标类型
ギズモタイプ			Gizmo类型
オブジェクト選択モード		对象选择模式
操作				操作
メイド:			女仆：
スロット:			部位：
プリセット		保存改动
Import			导入
Export			导出
ボーン:未選択		骨骼:未选择
リセット			复原
終了					关闭
ギズモ表示設定		Gizmo显示设置
移動量減少キー		减小移动量
移動量増加キー		增大移动量
戻る					返回
ボーン表示設定		骨骼显示设置
通常ボーン色		未选中骨骼的颜色
選択ボーン色		选中骨骼的颜色
選択キー			按住该键并鼠标单击
メイド体ボーン表示		女仆身体骨骼显示
絞り込み				缩小范围
カテゴリー			部位
オブジェクト名		物品名
ファイル選択			文件选择
ファイル名			文件名称
ギズモ表示設定		轴显示设置
ギズモタイプ			轴类型
プリセットファイル	预设文件
同カテ			同部位
同名				同一物品
ベース			基本
オブジェクト:		对象:
ボーン:			骨骼:
	

×
□
設定						设置
ボーン表示				骨骼显示
詳細						详细
座標タイプ				坐标类型
ギズモタイプ				Gizmo类型
オブジェクト選択モード		对象选择模式
操作						操作
メイド:					女仆：
スロット:					槽位：	
プリセット				预设
Import
Export
揺れボーン				摇曳骨骼
ボーン:未選択				骨骼：未选择
リセット					重置
終了						退出
ベース					基础
オブジェクト:				对象
ボーン:					骨骼：
ボーン:	(.+)				骨骼：$1
未選択					未选择








頭			头
髪			头发
身体			身体
服装			服装
アクセサリ		配饰
セット			套装
プリセット		预设
全て			全部
選択中			选择中
設定			设定
顔			脸
眉			眉毛
目			眼睛
目ハイライト		眼睛高光
ほくろ			痣
唇			嘴唇
歯			牙齿
フィルタ：		过滤器：
お気に入り		收藏夹
帽子			帽子
ヘッドドレス		头饰
トップス			上装
ボトムス			下装
ワンピース		连衣裙
水着			泳装
ブラジャー		胸罩
パンツ			内裤
靴下			袜子
靴			鞋子
服 / 身体			衣服/身体
服			衣服
体			身体
メイド服			女仆装
コスチューム		服装
